File,Number of Operators,B+ Execution Time 1,B+ Execution Time 2,B+ Execution Time 3,B+ Execution Time 4,Average B+ Execution Time,Sequential Execution Time,Secondary Execution Time,B-Tree Execution Time,Clustering Execution Time,Fastest Approach,B+ Average Score,Sequential Average Score,Secondary Average Score,B-Tree Average Score,Clustering Average Score,Best Scoring Approach
10400/question/1.xml,3,167.48452186584473,157.44829177856445,152.58049964904785,158.55669975280762,159.01750326156616,81905.44152259827,4138.39316368103,166.23473167419434,4118.337154388428,B+-Tree,0.9246031746031746,1.0,1.0,0.9246031746031746,1.0,Sequential/Secondary/Clustering
10400/question/3.xml,2,689.4986629486084,731.6725254058838,649.6834754943848,736.0095977783203,701.7160654067993,82513.58842849731,4832.875967025757,641.94655418396,5072.816610336304,B-Tree,0.8869959244959245,1.0,1.0,0.8869959244959245,1.0,Sequential/Secondary/Clustering
10400/question/4.xml,1,302.9065132141113,299.8154163360596,275.9840488433838,301.26166343688965,294.9919104576111,76264.68062400818,352.6089191436768,271.8982696533203,365.71455001831055,B-Tree,1.0,1.0,1.0,1.0,1.0,All
10400/question/5.xml,5,168.2279109954834,167.10138320922852,143.7990665435791,140.33007621765137,154.8646092414856,98108.51430892944,1803.0025959014893,134.93609428405762,1797.8065013885498,B-Tree,0.5360835300771666,0.715893665158371,0.6758119387815782,0.5360835300771666,0.6758119387815782,Sequential
10400/question/6.xml,6,83.72759819030762,78.61089706420898,107.90395736694336,85.0062370300293,88.81217241287231,88046.64015769958,1320.0576305389404,71.53630256652832,1365.8881187438965,B-Tree,0.6616999263580415,0.9223994755244757,0.9182271432271432,0.6616999263580415,0.9182271432271432,Sequential
1040128/question/0.xml,3,180.00388145446777,175.02951622009277,151.9453525543213,168.49470138549805,168.86836290359497,83808.84885787964,9887.794733047484,164.4580364227295,10156.025171279907,B+-Tree,0.98505291005291,1.0,0.9520643756416114,0.98505291005291,0.9520643756416114,Sequential
1040128/question/1.xml,1,2981.0051918029785,2822.441339492798,2684.568166732788,2876.7576217651367,2841.1930799484253,73380.65147399902,8384.29594039917,2683.6488246917725,8639.162302017212,B-Tree,1.0,1.0,1.0,1.0,1.0,All
1040314/question/1.xml,9,157.6385498046875,171.21458053588867,135.21146774291992,133.3615779876709,149.35654401779175,101250.3697872162,5245.664358139038,156.33678436279297,5516.089677810669,B+-Tree,0.5496143784268226,0.7311343776568104,0.7134142983354326,0.5496143784268226,0.7134142983354326,Sequential
1040314/question/17.xml,1,55.27973175048828,53.1010627746582,44.01612281799317,50.52828788757324,50.73130130767822,69112.62464523315,123.7924098968506,65.38748741149902,115.81826210021973,B+-Tree,0.9092261904761904,1.0,1.0,0.9092261904761904,1.0,Sequential/Secondary/Clustering
1040314/question/19.xml,4,116.57595634460448,130.1717758178711,100.62670707702635,117.40589141845705,116.19508266448975,84475.7297039032,1783.116340637207,110.71538925170898,1866.632699966431,B+-Tree,0.6317783816425121,0.7563572719060524,0.7777664859981933,0.6317783816425121,0.7777664859981933,Secondary/Clustering
1040314/question/2.xml,1,1426.133632659912,1358.484983444214,1351.038694381714,1402.4171829223633,1384.5186233520508,77966.9201374054,3958.43768119812,1313.3938312530518,3916.482448577881,B-Tree,0.9912698412698412,1.0,1.0,0.9912698412698412,1.0,Sequential/Secondary/Clustering
1040314/question/20.xml,1,1122.6084232330322,1074.1016864776611,1031.700611114502,1109.5890998840332,1084.4999551773071,74524.49154853821,3783.084154129028,1036.017656326294,3870.373725891113,B+-Tree,0.7666245791245792,0.9715909090909092,0.8603745791245792,0.7666245791245792,0.8603745791245792,Sequential
1040314/question/4.xml,10,166.55850410461426,165.85946083068848,155.52568435668945,166.69178009033203,163.65885734558105,107761.55996322632,5835.439205169678,150.93135833740234,6015.1848793029785,B-Tree,0.5466069426411516,0.7091268948013392,0.6829478377490426,0.5466069426411516,0.6829478377490426,Sequential
1040314/question/6.xml,13,161.01861000061035,182.9845905303955,151.0176658630371,185.48083305358887,170.12542486190796,113791.97573661804,6237.329721450806,171.91529273986816,6447.683811187744,B+-Tree,0.5471994666616457,0.6874564456566561,0.6486674566736093,0.5471994666616457,0.6486674566736093,Sequential
1040314/question/7.xml,5,146.8501091003418,146.05236053466797,137.3739242553711,148.65374565124512,144.7325348854065,89804.67677116394,10547.610759735107,146.43168449401855,11135.442733764648,B+-Tree,0.5235730894434253,0.7254624460844056,0.6803041591341028,0.5235730894434253,0.6803041591341028,Sequential
1040477/question/0.xml,1,407.4389934539795,386.42001152038574,406.5473079681397,412.9633903503418,403.34242582321167,72030.49683570862,518.0296897888184,371.8826770782471,548.4282970428467,B-Tree,0.9913194444444444,1.0,1.0,0.9913194444444444,1.0,Sequential/Secondary/Clustering
104270/question/0.xml,1,413.1081104278565,364.43352699279785,344.6991443634033,404.2074680328369,381.61206245422363,70850.78406333923,803.3111095428467,361.6044521331787,798.6698150634766,B+-Tree,0.9010416666666666,0.9010416666666666,0.9010416666666666,0.9010416666666666,0.9010416666666666,All
104270/question/1.xml,2,221.735954284668,222.9316234588623,220.08466720581052,233.26563835144043,224.5044708251953,71905.91478347778,843.6369895935059,217.20218658447263,864.044189453125,B-Tree,0.7106684981684982,0.7537037037037037,0.693219696969697,0.7106684981684982,0.693219696969697,Sequential
104270/question/3.xml,1,359.6158027648926,343.212366104126,346.294641494751,372.72024154663086,355.4607629776001,69113.76571655273,773.3216285705566,386.3842487335205,793.5681343078613,B+-Tree,1.0,1.0,1.0,1.0,1.0,All
104270/question/4.xml,1,396.8167304992676,363.8906478881836,345.03841400146484,390.0947570800781,373.96013736724854,69896.25859260559,820.9958076477051,357.7535152435303,846.5313911437988,B+-Tree,1.0,1.0,1.0,1.0,1.0,All
10490/question/0.xml,11,125.8864402770996,142.7474021911621,132.7810287475586,122.06482887268066,130.86992502212524,102763.3044719696,5261.297464370728,124.99046325683594,5424.768447875977,B+-Tree,0.4890331543356411,0.592185422356812,0.5748382001368777,0.4890331543356411,0.5748382001368777,Sequential
10490/question/1.xml,1,341.4430618286133,308.68077278137207,320.605993270874,342.8142070770264,328.38600873947144,70053.25508117676,196.47908210754397,303.1113147735596,190.4196739196777,Clustering,1.0,1.0,1.0,1.0,1.0,All
105107/question/1.xml,2,229.2635440826416,199.89442825317383,181.22529983520508,202.06427574157715,203.1118869781494,72336.03596687317,1000.0162124633788,187.4992847442627,1043.82586479187,B+-Tree,1.0,1.0,1.0,1.0,1.0,All
105107/question/3.xml,1,174.67832565307617,165.07625579833984,148.78249168395996,159.10887718200684,161.9114875793457,63336.62176132202,172.6372241973877,195.32394409179688,184.42249298095703,B+-Tree,1.0,1.0,1.0,1.0,1.0,All
1052870/question/0.xml,3,1252.8624534606934,1163.4526252746582,1160.1548194885254,1235.8253002166748,1203.073799610138,94932.6639175415,5814.424991607666,1156.4865112304688,5974.725484848023,B-Tree,0.8027998469252339,1.0,1.0,0.8027998469252339,1.0,Sequential/Secondary/Clustering
1052870/question/1.xml,3,688.7533664703369,671.5800762176514,635.1959705352783,691.0912990570068,671.6551780700684,73486.17148399353,11616.791009902954,634.7129344940186,12117.247343063354,B-Tree,1.0,1.0,1.0,1.0,1.0,All
1052870/question/2.xml,3,680.8145046234131,700.4587650299072,641.0496234893799,674.8876571655273,674.3026375770569,76858.53695869446,11899.664640426636,612.067461013794,12041.423559188845,B-Tree,1.0,1.0,1.0,1.0,1.0,All
1052870/question/3.xml,2,2359.361171722412,2178.7657737731934,2159.19041633606,2280.4386615753174,2244.4390058517456,73634.35459136963,11297.73211479187,2124.884843826294,11690.372943878174,B-Tree,1.0,1.0,1.0,1.0,1.0,All
1052870/question/4.xml,2,2311.5625381469727,2145.930290222168,2145.26629447937,2310.6889724731445,2228.362023830414,72565.74487686157,11202.922105789185,2142.262935638428,11940.72198867798,B-Tree,1.0,1.0,1.0,1.0,1.0,All
105330/question/0.xml,3,686.5200996398926,662.8148555755615,632.4670314788818,684.3054294586182,666.5268540382385,73092.59748458862,11553.236961364746,627.2988319396973,12087.61501312256,B-Tree,1.0,1.0,1.0,1.0,1.0,All
105330/question/1.xml,3,673.2034683227539,647.7358341217041,642.2452926635742,692.9352283477783,664.0299558639526,75205.31630516052,11626.831531524658,604.0389537811279,12082.97038078308,B-Tree,1.0,1.0,1.0,1.0,1.0,All
105330/question/2.xml,3,713.5422229766846,664.7024154663086,640.7155990600586,671.8926429748535,672.7132201194763,74222.50843048096,11661.393404006958,625.4003047943115,12156.532287597656,B-Tree,1.0,1.0,1.0,1.0,1.0,All
105330/question/3.xml,5,566.6794776916504,554.3596744537354,500.4384517669678,534.9698066711426,539.111852645874,108290.589094162,7002.065658569336,502.92110443115234,7153.102397918701,B+-Tree,0.6441650621036551,0.8471413957658709,0.776202612637838,0.6441650621036551,0.776202612637838,Sequential
1054719/question/0.xml,1,2913.7063026428223,2699.50270652771,2730.400562286377,2875.246047973633,2804.7139048576355,73421.88453674316,8408.734321594238,2704.1337490081787,8510.636806488037,B+-Tree,1.0,1.0,1.0,1.0,1.0,All
1055501/question/0.xml,1,142.15970039367676,129.14228439331055,113.06476593017578,125.25510787963869,127.40546464920044,72322.71027565002,116.82248115539552,123.31080436706544,109.85827445983888,Clustering,1.0,1.0,1.0,1.0,1.0,All
1055538/question/0.xml,2,716.6509628295898,734.2298030853271,681.8747520446777,689.0661716461182,705.4554224014282,82586.17687225342,4896.858692169189,656.9948196411133,4961.358070373535,B-Tree,0.8148638642059695,0.9044117647058824,0.8208017248785152,0.8148638642059695,0.8208017248785152,Sequential
1055538/question/1.xml,3,101.14693641662598,126.88899040222168,99.79963302612305,107.26356506347656,108.77478122711182,78647.26281166077,241.6553497314453,118.67046356201172,251.60956382751465,B+-Tree,0.6470080085125448,0.7702221987958863,0.6987326378316367,0.6470080085125448,0.6987326378316367,Sequential
1055538/question/3.xml,3,123.66127967834473,133.681058883667,87.0046615600586,115.187406539917,114.88360166549683,77593.097448349,243.516206741333,108.8705062866211,243.88575553894043,B+-Tree,0.6470080085125448,0.7702221987958863,0.6987326378316367,0.6470080085125448,0.6987326378316367,Sequential
1056707/question/0.xml,1,350.0380516052246,340.64674377441406,319.507360458374,340.0716781616211,337.56595849990845,83609.1902256012,1167.259931564331,296.8764305114746,1162.3616218566897,B-Tree,1.0,1.0,1.0,1.0,1.0,All
1056707/question/1.xml,3,933.0227375030518,880.7785511016846,874.8626708984375,902.1048545837402,897.6922035217285,75952.60190963745,12083.304405212402,844.8243141174316,12499.842405319214,B-Tree,1.0,1.0,1.0,1.0,1.0,All
106126/question/2.xml,5,86.27867698669434,84.22660827636719,53.40719223022461,83.42981338500977,76.83557271957397,97332.21912384032,348.7777709960937,96.96698188781738,345.9787368774414,B+-Tree,0.5577908298597953,0.735073499519702,0.7321698844156471,0.5577908298597953,0.7321698844156471,Sequential
1067078/question/0.xml,3,1362.339973449707,1332.8216075897217,1316.396951675415,1368.4253692626953,1344.9959754943848,77163.3894443512,3541.1062240600586,1307.5129985809326,3689.060926437378,B-Tree,1.0,1.0,1.0,1.0,1.0,All
1067078/question/1.xml,2,339.7865295410156,314.90612030029297,302.65045166015625,317.98505783081055,318.83203983306885,75044.15273666382,4110.320329666138,310.73522567749023,4207.849025726318,B+-Tree,1.0,1.0,1.0,1.0,1.0,All
1067078/question/2.xml,5,138.39292526245117,151.46970748901367,131.0572624206543,126.2831687927246,136.80076599121094,105630.68056106567,417.7625179290772,139.9941444396973,405.75528144836426,B+-Tree,0.5459150949348537,0.6810308345210752,0.6745039098374306,0.5459150949348537,0.6745039098374306,Sequential
1068/question/0.xml,3,120.64003944396973,99.18045997619627,105.31878471374512,87.75162696838379,103.22272777557373,76917.30809211731,298.71058464050293,82.25178718566895,313.3857250213623,B-Tree,0.8903318903318903,0.9107892107892108,0.8689493839493839,0.8903318903318903,0.8689493839493839,Sequential
1068/question/1.xml,2,1984.1835498809812,1856.50372505188,1912.3589992523196,1896.3072299957275,1912.338376045227,82439.37826156616,13275.301456451416,1863.5971546173096,13746.837377548218,B+-Tree,1.0,1.0,1.0,1.0,1.0,All
1068/question/3.xml,1,60.28342247009277,51.871538162231445,45.433759689331055,60.11152267456055,54.425060749053955,73789.95609283447,266.6893005371094,62.85643577575684,258.9285373687744,B+-Tree,0.6151302401302401,1.0,0.734967320261438,0.6151302401302401,0.734967320261438,Sequential
1068/question/4.xml,1,74.4163990020752,84.02585983276367,68.97163391113281,74.69058036804199,75.52611827850342,78313.04240226746,274.6083736419678,79.5741081237793,282.7613353729248,B+-Tree,0.6550053172633817,0.8928113553113554,0.8171905682841445,0.6550053172633817,0.8171905682841445,Sequential
