File,Original Average Score,Separated Average Score,Subscript Sensitve Average Score,Original Execution Time,Separated Execution Time,Subscript Sensitive Execution Time,Original Top 10 Average Score,Separated Top 10 Average Score,Subscript Sensitive Top 10 Average Score,Original Top 10 Max Score,Separated Top 10 Max Score,Subscript Sensitve Top 10 Max Score,Original Number of Results,Separated Number of Results,Subscript Sensitive Number of Results
MathArticles/wpmath0000001/Bernoulli_number/40.xml,1.0,1.0,1.0,1209.4204425811768,547.8041172027588,568.5083866119385,0.790530303030303,0.8625,0.8625,1.0,1.0,1.0,2840,1237,1236
MathArticles/wpmath0000001/Recursively_enumerable_language/3.xml,1.0,1.0,1.0,203.1288146972656,293.25389862060547,245.5141544342041,0.9625,1.0,0.893969298245614,1.0,1.0,1.0,100,99,152
MathArticles/wpmath0000006/Yale_shooting_problem/28.xml,1.0,1.0,1.0,6340.366840362549,1783.064365386963,2022.1993923187256,0.5320978596753718,0.519093386150867,0.4929146359313449,0.7468137254901961,0.655,0.655,11036,2766,2817
MathArticles/wpmath0000001/Digital_filter/19.xml,0.5616473833032192,0.488085410107859,0.5290928654521345,1050.3838062286377,517.5719261169434,712.4309539794922,0.4708904302200377,0.4835736829510024,0.4829824597637061,1.0,1.0,1.0,152,11,49
MathArticles/wpmath0000002/Terminal_velocity/24.xml,0.6931012141487092,0.6662499806103188,0.6641471278021358,2116.7378425598145,736.1555099487305,822.5011825561523,0.5295949888293711,0.524149027189267,0.5122671784314483,0.6004479269185152,0.5800266597867217,0.5800266597867217,1042,128,153
MathArticles/wpmath0000010/Timoshenko_beam_theory/51.xml,1.0,1.0,1.0,2210.1094722747803,958.177089691162,1697.9246139526367,0.7995764744961984,0.8166507498585173,0.7925072313399988,1.0,1.0,1.0,7505,2611,5158
MathArticles/wpmath0000004/Laplace–Runge–Lenz_vector/125.xml,0.773756745726635,0.6623400934493261,0.6584037374575177,565.0601387023926,297.1508502960205,391.6916847229004,0.5853519833730055,0.5326215064770254,0.5403974712160504,0.7398353258321613,0.5705357142857143,0.5784722222222223,285,52,40
MathArticles/wpmath0000004/Hyperbolic_quaternion/2.xml,1.0,1.0,1.0,3354.7379970550537,2446.779251098633,3965.444564819336,0.666975154431274,0.7144428268450671,0.7359687321255095,0.8909313725490196,0.8909313725490196,0.8909313725490196,8148,5862,8837
MathArticles/wpmath0000012/Sum_frequency_generation_spectroscopy/6.xml,0.7100607593532658,0.6934303256234138,0.7068722547002648,487.0800971984863,446.6195106506348,508.7907314300537,0.5799048569771893,0.5806276800894427,0.6156512483687068,0.6975956284153005,0.6975956284153005,0.6975956284153005,78,27,37
MathArticles/wpmath0000005/Hanbury_Brown_and_Twiss_effect/15.xml,1.0,1.0,1.0,5747.738838195801,1892.1926021575928,2099.198579788208,0.5719967430534145,0.5416182824512696,0.6002017487707143,0.715,0.5781818181818181,0.7187878787878788,13427,4252,5158
MathArticles/wpmath0000015/Rayleigh–Plesset_equation/48.xml,1.0,1.0,1.0,1846.774101257324,909.5752239227296,1732.3284149169922,0.795931973217426,0.8151801616232232,0.7891847912528528,1.0,1.0,1.0,7505,2611,5158
MathArticles/wpmath0000015/Cluster-expansion_approach/1.xml,1.0,1.0,1.0,455.4188251495361,439.6407604217529,753.3867359161377,0.7584038208168643,0.7422813852813853,0.6919117647058823,1.0,1.0,1.0,960,786,2062
MathArticles/wpmath0000002/Hypergraph/51.xml,1.0,1.0,1.0,171.87952995300293,282.4869155883789,215.90614318847656,0.8020604395604395,0.8020604395604395,0.7769017094017093,1.0,1.0,1.0,26,20,43
