File,Number of Operators,B+ Execution Time,Secondary Execution Time,B-Tree Execution Time,Clustering Execution Time,B+ Average Score,Secondary Average Score,B-Tree Average Score,Clustering Average Score,B+ Max Score,Secondary Max Score,B-Tree Max Score,Clustering Max Score
MathArticles/wpmath0000002/Michelson–Morley_experiment/26.xml,1,8891.90697669983,42222.60022163391,8439.382553100586,40851.484537124634,0.9290123456790124,0.9888888888888889,0.9290123456790124,0.9888888888888889,1,1,1,1
MathArticles/wpmath0000006/Lambda_lifting/237.xml,2,541.7699813842773,0.0,625.0114440917969,15.566825866699219,0.7351771196283391,0.8355198973042361,0.7351771196283391,0.8355198973042361,1,1,1,1
MathArticles/wpmath0000009/Tachyonic_antitelephone/18.xml,4,699.0182399749756,22212.20564842224,734.7562313079834,21977.073907852173,0.7249792508216422,0.708387127208783,0.7249792508216422,0.708387127208783,1,1,1,1
MathArticles/wpmath0000015/Pairwise_error_probability/1.xml,1,620.6703186035156,1672.6775169372559,562.8464221954346,1612.6110553741455,1,1,1,1,1,1,1,1
MathArticles/wpmath0000009/Theorems_and_definitions_in_linear_algebra/197.xml,1,478.1327247619629,1094.1228866577148,531.2533378601074,937.9301071166992,1,1,1,1,1,1,1,1
MathArticles/wpmath0000006/Charge_density/2.xml,2,2809.1273307800293,47678.149938583374,2828.411817550659,47288.355350494385,0.8969872448979592,1,0.8969872448979592,1,1,1,1,1
MathArticles/wpmath0000008/Flux_limiter/28.xml,9,683.6094856262207,2408.397436141968,734.3752384185791,2203.4964561462402,0.6169119780119575,0.7620793778195243,0.6169119780119575,0.7620793778195243,1,1,1,1
MathArticles/wpmath0000001/Relational_model/40.xml,1,964.1954898834229,3062.8747940063477,984.9061965942383,2891.8707370758057,1,1,1,1,1,1,1,1
MathArticles/wpmath0000002/Archimedean_property/13.xml,4,558.513879776001,6924.736499786377,594.3746566772461,6818.770885467529,0.8310457298893204,0.919400352733686,0.8310457298893204,0.919400352733686,1,1,1,1
MathArticles/wpmath0000007/Oblate_spheroidal_coordinates/2.xml,1,10249.642372131348,48614.527463912964,10068.031549453735,48035.01844406128,0.8244141781006188,1,0.8244141781006188,1,1,1,1,1
MathArticles/wpmath0000001/Finite_field/42.xml,1,4326.160907745361,32905.33518791199,4298.930406570435,32449.310541152954,1,1,1,1,1,1,1,1
MathArticles/wpmath0000012/Strict-feedback_form/5.xml,8,1932.9898357391357,29997.950792312622,1953.789234161377,29684.227466583252,0.5919621813106196,0.8915759013760368,0.5919621813106196,0.8915759013760368,1,1,1,1
MathArticles/wpmath0000014/McKay_graph/106.xml,1,891.6716575622559,12928.20405960083,906.4681529998779,12628.284692764282,1,1,1,1,1,1,1,1
MathArticles/wpmath0000012/Shape_factor_(image_analysis_and_microscopy)/3.xml,3,887.4938488006592,55760.88857650757,860.3508472442627,55350.54135322571,0.5581904298613427,0.6321775216361132,0.5581904298613427,0.6321775216361132,1,1,1,1
MathArticles/wpmath0000004/Conditional_entropy/32.xml,3,762.6805305480957,66042.11926460266,796.8738079071045,64531.72445297241,1,1,1,1,1,1,1,1
MathArticles/wpmath0000003/Classical_orthogonal_polynomials/146.xml,3,3731.480836868286,73609.42220687866,3688.063144683838,72795.2253818512,1,1,1,1,1,1,1,1
MathArticles/wpmath0000002/Exponentiation/117.xml,1,7216.103792190552,35115.49758911133,7158.469915390015,34421.94604873657,1,1,1,1,1,1,1,1
MathArticles/wpmath0000009/Modern_Arabic_mathematical_notation/21.xml,1,229.43592071533203,62.49642372131348,250.00929832458496,15.614032745361328,0.5218939393939394,0.5064364801864801,0.5218939393939394,0.5064364801864801,1,1,1,1
MathArticles/wpmath0000006/Table_of_spherical_harmonics/107.xml,15,904.0515422821045,63080.77692985535,908.5009098052979,62442.46435165405,0.6667269188923618,0.758240388665436,0.6667269188923618,0.758240388665436,1,1,1,1
MathArticles/wpmath0000013/Forward_volatility/1.xml,28,979.6574115753174,89261.9879245758,1000.3378391265869,89127.09093093872,0.39468682837039737,0.5747215483351862,0.39468682837039737,0.5747215483351862,1,1,1,1
MathArticles/wpmath0000016/Quantum_thermodynamics/40.xml,1,8579.857349395752,39954.86235618591,8417.152166366577,39406.50224685669,1,1,1,1,1,1,1,1
MathArticles/wpmath0000012/Viscosity/39.xml,3,606.407880783081,43169.07787322998,625.1485347747803,42425.196409225464,0.6928037753309493,0.8769382656350742,0.6928037753309493,0.8769382656350742,1,1,1,1
MathArticles/wpmath0000001/Navier–Stokes_equations/77.xml,23,839.2109870910645,17087.154865264893,844.3417549133301,16885.56933403015,0.6346876498761644,0.718531556040752,0.6346876498761644,0.718531556040752,1,1,1,1
MathArticles/wpmath0000002/Instanton/2.xml,4,1765.0351524353027,50034.95717048645,1765.9893035888672,49397.71103858948,1,1,1,1,1,1,1,1
MathArticles/wpmath0000001/Life_expectancy/16.xml,4,687.4651908874512,56574.00035858154,718.752384185791,55906.30841255188,0.7397899601231344,0.782913293141976,0.7397899601231344,0.782913293141976,1,1,1,1
MathArticles/wpmath0000016/Loewy_decomposition/114.xml,4,635.4725360870361,3516.1988735198975,656.2929153442383,3236.640214920044,0.724007524815988,0.7664501393525583,0.724007524815988,0.7664501393525583,1,1,1,1
MathArticles/wpmath0000001/Asymptote/38.xml,7,604.7723293304443,94723.62494468689,609.367847442627,94777.2467136383,0.6265921005991637,0.914438049231718,0.6265921005991637,0.914438049231718,1,1,1,1
MathArticles/wpmath0000004/Quantum_circuit/15.xml,3,1339.0820026397705,21413.239002227783,1296.888828277588,21223.926305770874,0.7038109566080722,0.8359342562011515,0.7038109566080722,0.8359342562011515,1,1,1,1
MathArticles/wpmath0000012/Restricted_Lie_algebra/11.xml,3,308.93445014953613,4815.656900405884,343.7657356262207,4688.154220581055,0.630590261762622,0.8790096525096525,0.630590261762622,0.8790096525096525,1,1,1,1
MathArticles/wpmath0000008/Wigner_D-matrix/30.xml,29,934.598445892334,307854.71272468567,937.9205703735352,304320.2500343323,0.5493632797450483,0.6105104482656476,0.5493632797450483,0.6105104482656476,1,1,1,1
MathArticles/wpmath0000001/Ionization_energy/10.xml,2,608.1302165985107,15614.821195602417,672.3008155822754,15255.615711212158,0.9939285714285714,1,0.9939285714285714,1,1,1,1,1
MathArticles/wpmath0000002/RC_circuit/71.xml,2,4833.6427211761475,25450.779914855957,4673.472166061401,25262.532711029053,0.7212351467004698,0.7676826777969257,0.7212351467004698,0.7676826777969257,1,1,1,1
